Date,Species,Strain,Genotype,Len_1,Len_2,H2O2,Dilutions,Count,MO/MM,PO/PM,MO/MM_percent,PO/PM_percent
d072922,yH001,Cg,wt,45min,2hr,Mock,1000,587,1,1,100,100
d072922,yH001,Cg,wt,45min,2hr,20mM,1000,128,0.2180579216,0.3686746988,21.80579216,36.86746988
d072922,yH001,Cg,wt,45min,2hr,40mM,1000,93,0.1584327087,0.3253012048,15.84327087,32.53012048
d072922,yH001,Cg,wt,45min,2hr,60mM,1000,51,0.08688245315,0.313253012,8.688245315,31.3253012
d072922,yH001,Cg,wt,45min,2hr,80mM,1000,26,0.04429301533,0.221686747,4.429301533,22.1686747
d072922,yH001,Cg,wt,45min,2hr,100mM,1000,10,0.01703577513,0.1325301205,1.703577513,13.25301205
d072922,yH154,Sc,wt,45min,2hr,Mock,1000,291,1,1,100,100
d072922,yH154,Sc,wt,45min,2hr,2mM,1000,27,0.09278350515,0.1217712177,9.278350515,12.17712177
d072922,yH154,Sc,wt,45min,2hr,4mM,1000,20,0.06872852234,0.06273062731,6.872852234,6.273062731
d072922,yH154,Sc,wt,45min,2hr,6mM,1000,18,0.0618556701,0.05166051661,6.18556701,5.166051661
d072922,yH154,Sc,wt,45min,2hr,8mM,1000,6,0.0206185567,0.05535055351,2.06185567,5.535055351
d072922,yH154,Sc,wt,45min,2hr,10mM,1000,2,0.006872852234,0.0258302583,0.6872852234,2.58302583
d080122,yH001,Cg,wt,45min,2hr,Mock,1000,556,1,1,100,100
d080122,yH001,Cg,wt,45min,2hr,20mM,1000,147,0.2643884892,0.3826086957,26.43884892,38.26086957
d080122,yH001,Cg,wt,45min,2hr,40mM,1000,129,0.2320143885,0.3695652174,23.20143885,36.95652174
d080122,yH001,Cg,wt,45min,2hr,60mM,1000,71,0.1276978417,0.3565217391,12.76978417,35.65217391
d080122,yH001,Cg,wt,45min,2hr,80mM,1000,26,0.04676258993,0.2543478261,4.676258993,25.43478261
d080122,yH001,Cg,wt,45min,2hr,100mM,1000,7,0.01258992806,0.1695652174,1.258992806,16.95652174
d080122,yH154,Sc,wt,45min,2hr,Mock,1000,317,1,1,100,100
d080122,yH154,Sc,wt,45min,2hr,2mM,1000,16,0.05047318612,0.04361370717,5.047318612,4.361370717
d080122,yH154,Sc,wt,45min,2hr,4mM,1000,15,0.04731861199,0.04672897196,4.731861199,4.672897196
d080122,yH154,Sc,wt,45min,2hr,6mM,1000,9,0.02839116719,0.05295950156,2.839116719,5.295950156
d080122,yH154,Sc,wt,45min,2hr,8mM,500,12,0.01892744479,0.01557632399,1.892744479,1.557632399
d080122,yH154,Sc,wt,45min,2hr,10mM,500,2,0.003154574132,0.006230529595,0.3154574132,0.6230529595
d080222,yH001,Cg,wt,45min,2hr,Mock,1000,530,1,1,100,100
d080222,yH001,Cg,wt,45min,2hr,20mM,1000,144,0.2716981132,0.3441064639,27.16981132,34.41064639
d080222,yH001,Cg,wt,45min,2hr,40mM,1000,110,0.2075471698,0.2737642586,20.75471698,27.37642586
d080222,yH001,Cg,wt,45min,2hr,60mM,1000,31,0.05849056604,0.252851711,5.849056604,25.2851711
d080222,yH001,Cg,wt,45min,2hr,80mM,1000,27,0.05094339623,0.1558935361,5.094339623,15.58935361
d080222,yH001,Cg,wt,45min,2hr,100mM,1000,6,0.01132075472,0.07794676806,1.132075472,7.794676806
d080222,yH154,Sc,wt,45min,2hr,Mock,1000,237,1,1,100,100
d080222,yH154,Sc,wt,45min,2hr,2mM,1000,20,0.08438818565,0.08108108108,8.438818565,8.108108108
d080222,yH154,Sc,wt,45min,2hr,4mM,1000,9,0.03797468354,0.0694980695,3.797468354,6.94980695
d080222,yH154,Sc,wt,45min,2hr,6mM,1000,18,0.07594936709,0.08108108108,7.594936709,8.108108108
d080222,yH154,Sc,wt,45min,2hr,8mM,500,9,0.01898734177,0.03088803089,1.898734177,3.088803089
d080222,yH154,Sc,wt,45min,2hr,10mM,500,16,0.03375527426,0.01737451737,3.375527426,1.737451737
d080422,yH001,Cg,wt,45min,2hr,Mock,1000,671,1,1,100,100
d080422,yH001,Cg,wt,45min,2hr,20mM,1000,144,0.2146050671,0.346,21.46050671,34.6
d080422,yH001,Cg,wt,45min,2hr,40mM,1000,104,0.1549925484,0.27,15.49925484,27
d080422,yH001,Cg,wt,45min,2hr,60mM,1000,31,0.04619970194,0.294,4.619970194,29.4
d080422,yH001,Cg,wt,45min,2hr,80mM,1000,9,0.01341281669,0.198,1.341281669,19.8
d080422,yH001,Cg,wt,45min,2hr,100mM,1000,3,0.004470938897,0.144,0.4470938897,14.4
d080422,yH154,Sc,wt,45min,2hr,Mock,1000,379,1,1,100,100
d080422,yH154,Sc,wt,45min,2hr,2mM,1000,18,0.04749340369,0.0447761194,4.749340369,4.47761194
d080422,yH154,Sc,wt,45min,2hr,4mM,1000,23,0.06068601583,0.08955223881,6.068601583,8.955223881
d080422,yH154,Sc,wt,45min,2hr,6mM,1000,7,0.01846965699,0.02487562189,1.846965699,2.487562189
d080422,yH154,Sc,wt,45min,2hr,8mM,500,21,0.02770448549,0.02736318408,2.770448549,2.736318408
d080422,yH154,Sc,wt,45min,2hr,10mM,500,6,0.007915567282,0.01492537313,0.7915567282,1.492537313
d081122,yH001,Cg,wt,45min,2hr,Mock,1000,714,1,1,100,100
d081122,yH001,Cg,wt,45min,2hr,20mM,1000,128,0.1792717087,0.2860696517,17.92717087,28.60696517
d081122,yH001,Cg,wt,45min,2hr,40mM,1000,72,0.1008403361,0.3109452736,10.08403361,31.09452736
d081122,yH001,Cg,wt,45min,2hr,60mM,1000,31,0.04341736695,0.2512437811,4.341736695,25.12437811
d081122,yH001,Cg,wt,45min,2hr,80mM,1000,14,0.01960784314,0.1666666667,1.960784314,16.66666667
d081122,yH001,Cg,wt,45min,2hr,100mM,1000,8,0.01120448179,0.1368159204,1.120448179,13.68159204
d081122,yH154,Sc,wt,45min,2hr,Mock,1000,291,1,1,100,100
d081122,yH154,Sc,wt,45min,2hr,2mM,1000,13,0.04467353952,0.0703125,4.467353952,7.03125
d081122,yH154,Sc,wt,45min,2hr,4mM,1000,11,0.03780068729,0.0546875,3.780068729,5.46875
d081122,yH154,Sc,wt,45min,2hr,6mM,1000,9,0.03092783505,0.04296875,3.092783505,4.296875
d081122,yH154,Sc,wt,45min,2hr,8mM,500,11,0.01890034364,0.025390625,1.890034364,2.5390625
d081122,yH154,Sc,wt,45min,2hr,10mM,500,7,0.01202749141,0.005859375,1.202749141,0.5859375